0	35663.07	34098.3	64700	100.96
1	33281.53	32785.5	66668	95.04
1	33566.58	33574.4	66648	95.47
0	32836.44	34085.1	64608	93.19
0	35025.86	34074.3	64604	98.69
1	31922.7	30839.5	66644	90.59
1	33193.01	30922.1	66616	94.43
0	32975.41	32703.2	64700	93.89
0	32797.01	31442.1	64700	92.7
1	32788.94	30934.2	66632	93.93
1	31814.16	30206.1	68664	90.42
0	33600.79	36593.0	64756	96.61
0	34210.21	33878.1	64700	96.3
1	34701.49	33351.5	66512	98.7
1	32865.52	30572.9	66624	94.31
0	33304.99	33107.3	64732	94.52
0	33292.19	32062.3	64708	94.63
1	34370.97	33784.1	66636	97.91
1	32972.61	32711.5	66672	93.91
0	32908.52	31963.7	64696	93.93
0	33414.92	32533.6	64664	94.95
1	33976.24	33204.2	66680	96.91
1	32828.07	30595.6	66672	93.07
0	33896.12	33954.9	64720	96.72
