variant	trial	rps	rss_kib	marked	records	non2xx
tipnoec	1	949.21	3568	0	0	0
tipnoec	2	927.30	36496	0	0	0
tipnoec	3	958.84	36528	0	0	0
tipnoec	4	959.33	36464	0	0	0
tipnoec	5	961.02	36832	0	0	0
tipnoec	6	967.70	33824	0	0	0
tipnoec	7	954.48	37840	0	0	0
tipnoec	8	923.36	36256	0	0	0
tipnoec	9	929.28	37216	0	0	0
tipnoec	10	943.29	36032	0	0	0
