knob	trial	rps	rss_kib	live_bytes	precise	conservative	entries	ge75	large_free	free_chunks
boehm	1	243.05	43732	0	0	0	0	0	0	0
control	1	238.84	195160	230516720	131	8988	51	2314	1748992	24379392
auto_layouts	1	250.08	204912	241526224	5624	8663	483	2405	290816	15335424
scan_caps	1	266.98	204708	256190912	600	16261	585	2549	393216	14286848
floor	1	257.62	198708	249469632	807	14737	51	2485	487424	917504
auto_scan	1	265.33	207216	257020096	527	13484	599	2569	290816	16121856
disable_layout	1	220.04	156048	172880768	0	16053	0	1709	86016	16777216
