1	32177.17	91.81	64708	77.554	240199114	73
0	94289.67	229.97	64584	90.716	0	29
0	92539.0	225.32	64536	90.863	0	30
1	31868.89	90.68	64728	77.763	243399377	74
1	33253.27	95.1	64692	77.37	230598325	70
0	93657.1	227.95	64600	90.902	0	30
0	94999.58	231.53	64580	90.784	0	29
1	32454.72	92.54	64776	77.597	236998851	72
1	31362.17	89.46	64704	77.36	243399377	74
0	93803.93	229.14	64560	90.573	0	29
0	93917.5	224.67	64548	90.787	0	29
1	33347.8	94.94	64660	77.725	230598325	70
1	33701.65	95.64	64700	77.973	230598325	70
0	94858.19	231.23	64576	90.765	0	29
0	93115.29	226.66	64540	90.888	0	30
1	31403.02	89.21	64692	77.89	246599640	75
1	33115.88	93.56	64740	78.318	233798588	71
0	92217.93	224.49	64568	90.883	0	30
0	92902.15	225.66	64588	91.085	0	30
1	33867.2	95.43	64684	78.524	230598325	70
1	32556.6	92.79	64700	77.634	236998851	72
0	93825.91	226.93	64592	90.698	0	29
0	95700.03	233.37	64532	90.73	0	29
1	33601.86	95.31	64776	78.01	230598325	70
