variant	trial	rps	rss_kib	marked	records	non2xx
boehm	1	292.88	42404	0	0	0
base	1	278.46	32824	0	0	0
boehm	2	311.31	44220	0	0	0
base	2	153.85	0	0	0	-2
boehm	3	277.89	44400	0	0	0
base	3	182.28	0	0	0	-2
