variant	trial	rps	rss_kib	marked	records	non2xx
tipnoec	1	1092.57	44480	0	0	0
tipnoec	2	952.78	36592	0	0	0
tipnoec	3	1074.14	35392	0	0	0
tipnoec	4	1031.93	33920	0	0	0
tipnoec	5	938.33	34288	0	0	0
tipnoec	6	923.85	37696	0	0	0
tipnoec	7	957.91	35520	0	0	0
tipnoec	8	968.45	36944	0	0	0
tipnoec	9	959.89	35872	0	0	0
tipnoec	10	967.49	36480	0	0	0
