variant	trial	rps	rss_kib	marked	records	non2xx
boehm	1	267.83	43472	0	0	0
base	1	262.88	367960	0	0	0
exclusive	1	258.11	333836	2258	143292	0
boehm	2	242.97	38844	0	0	0
base	2	268.46	367912	0	0	0
exclusive	2	245.60	288808	5415	143292	0
boehm	3	262.89	42784	0	0	0
base	3	243.78	306592	0	0	0
exclusive	3	239.22	339276	1388	143292	0
