n	result	req_s	soft	hard	alive	note
1	OK	58504.73	0	0	1	
2	OK	54672.17	0	0	1	
3	OK	57187.21	0	0	1	
4	OK	54081.12	0	0	1	
5	OK	55650.05	0	0	1	
6	OK	57524.97	0	0	1	
7	OK	55859.84	0	0	1	
8	OK	55017.58	0	0	1	
9	OK	57860.60	0	0	1	
10	OK	55676.10	0	0	1	
11	OK	53607.03	0	0	1	
12	OK	54010.11	0	0	1	
13	OK	56689.26	0	0	1	
14	OK	57118.09	0	0	1	
15	OK	57501.41	0	0	1	
16	OK	56746.17	0	0	1	
17	OK	58411.94	0	0	1	
18	OK	56648.79	0	0	1	
19	OK	55815.71	0	0	1	
20	OK	55791.02	0	0	1	
