n	result	req_s	soft	hard	alive	note
1	OK	70514.82	0	0	1	
2	OK	69807.39	0	0	1	
3	OK	68525.06	0	0	1	
4	OK	71491.31	0	0	1	
5	OK	70120.24	0	0	1	
6	OK	67256.28	0	0	1	
7	OK	68462.68	0	0	1	
8	OK	70975.37	0	0	1	
9	OK	69176.26	0	0	1	
10	OK	68406.10	0	0	1	
11	OK	68412.56	0	0	1	
12	OK	69224.71	0	0	1	
13	OK	68918.04	0	0	1	
14	OK	69088.95	0	0	1	
15	OK	65053.52	0	0	1	
16	OK	68885.59	0	0	1	
17	OK	68178.56	0	0	1	
18	OK	67691.36	0	0	1	
19	OK	68375.24	0	0	1	
20	OK	70033.36	0	0	1	
