tag	path	trial	rps	rss_kib
boehm	/	1	64399.95	15080
gcry	/	1	109437.09	1716992
boehm	/json	1	41129.10	15096
gcry	/json	1	47492.61	1860352
boehm	/	2	65601.41	15088
gcry	/	2	108886.34	1704704
boehm	/json	2	44552.80	15872
gcry	/json	2	48328.13	1945084
boehm	/	3	69367.66	15096
gcry	/	3	109320.03	1770496
boehm	/json	3	40311.49	14840
gcry	/json	3	48013.46	1903096
