1	36.95	44.4	13824.79	64820	154
0	74.37	7648.4	16059.64	65768	77
0	70.85	8077.1	14603.7	65744	81
1	40.94	33.4	15264.04	64908	139
1	39.47	24.0	14932.0	64956	145
0	75.41	6572.0	16435.75	65744	75
0	74.83	6776.9	15519.01	65756	77
1	34.04	36.4	12411.51	64868	169
1	38.56	25.4	14663.77	64896	148
0	72.46	7146.2	15569.83	65716	78
0	76.48	6872.6	17034.84	65680	74
1	42.12	37.6	15940.55	64908	135
1	40.8	67.0	14922.93	64804	141
0	74.77	6761.6	15864.4	65800	77
0	68.81	8015.9	14041.26	65724	83
1	38.7	27.1	14326.86	64912	148
1	39.83	65.0	14865.11	64900	144
0	71.81	6826.4	15276.16	65748	80
0	72.62	7661.2	15369.44	65708	79
1	39.71	47.7	14668.08	64928	144
