tag	path	trial	rps	rss_kib
boehm	/	1	85508.30	19520
gcry	/	1	87160.35	152656
boehm	/json	1	64172.26	19216
gcry	/json	1	56294.74	113312
boehm	/	2	85395.52	19552
gcry	/	2	90642.86	157664
boehm	/json	2	64397.61	19536
gcry	/json	2	57417.91	138000
boehm	/	3	88514.13	19504
gcry	/	3	91194.93	161072
boehm	/json	3	64864.32	19536
gcry	/json	3	60553.68	157680
