config	thr	pause_ms	sweep_ms	skips	dormant_mib	chunks	rss_kib
gate-t1	48574.61	9.409	20.888	0	0.0	845	92968
0
gate-t2	45915.60	9.93	15.866	0	0.0	845	93052
0
gate-t3	47669.04	9.06	12.893	0	0.0	845	92884
0
d32-t1	51034.08	9.054	23.895	1	31.88	846	61464
0
d32-t2	51908.47	9.194	22.667	0	31.88	814	60860
0
d32-t3	50911.95	9.131	24.575	1	31.88	846	61472
0
d64-t1	50718.04	8.968	18.63	4	7.12	846	85828
0
d64-t2	47494.37	9.371	20.345	4	23.25	846	69940
0
d64-t3		0.0	0.0	0	0.0	0	0
1
d128-t1	55074.78	9.103	17.22	4	24.5	846	68828
0
d128-t2	53778.44	9.079	17.675	4	6.25	846	86944
0
d128-t3	49193.63	9.406	21.36	3	53.62	844	92784
0
