gcry soak telemetry
start=Time::Instant(@seconds=706199, @nanoseconds=608808162) duration=840s start_rss=6804kB
config: monitor_gate=true stw_test_stall_ms=0 ec_queue_audit=false fiber_churn=0 collect_hz=1
hour	elapsed	heap_kb	free_kb	live_objects	collections	pause_p50	pause_p99	rss_kb	finalized	queue_slots_total	queue_slots_max	queue_slots_hits	queue_faults
0.001388888888888889	5	3396.0	0.0	4345	4	1733790	2234114	7648	396	0	0	0	0
0.002777777777777778	10	3396.0	4.046875	4332	9	2224295	2733486	7672	898	0	0	0	0
0.004166666666666667	15	3396.0	6.4375	4380	14	1733790	2733486	7688	1396	0	0	0	0
0.005555555555555556	20	3396.0	10.546875	4365	19	2234114	4179022	7700	1897	0	0	0	0
0.006944444444444444	25	3396.0	21.5	4318	24	1733790	4179022	7704	2393	0	0	0	0
0.008333333333333333	30	3396.0	22.71875	4318	29	1845691	4179022	7704	2892	0	0	0	0
0.009722222222222222	35	3396.0	22.078125	4251	34	1681531	4179022	7704	3391	0	0	0	0
0.011111111111111112	40	3396.0	27.5625	4231	39	1845691	4179022	7704	3891	0	0	0	0
0.0125	45	3396.0	27.765625	4188	44	1874215	4179022	7704	4390	0	0	0	0
0.013888888888888888	50	3396.0	38.4375	4159	49	1934388	4179022	7708	4887	0	0	0	0
0.015277777777777777	55	3396.0	36.09375	4132	54	2014580	4621086	7708	5388	0	0	0	0
0.016666666666666666	60	3396.0	42.015625	4091	59	2107766	4621086	7708	5887	0	0	0	0
# gate elapsed=60s collections=59 monitor_blocks=10 stw_waits=0 stw_wait_max_ns=0
0.018055555555555554	65	3396.0	39.109375	4062	64	2107766	4621086	7712	6385	0	0	0	0
0.019444444444444445	70	3396.0	46.125	4024	69	2107766	4621086	7712	6884	0	0	0	0
0.020833333333333332	75	3396.0	44.5625	4002	74	2014059	4621086	7712	7384	0	0	0	0
0.022222222222222223	80	3396.0	53.96875	3969	79	2014059	4621086	7712	7883	0	0	0	0
0.02361111111111111	85	3396.0	46.421875	3973	84	1934388	4621086	7712	8381	0	0	0	0
0.025	90	3396.0	57.03125	3913	89	2014580	4621086	7712	8881	0	0	0	0
0.02638888888888889	95	3396.0	59.59375	3888	94	2091465	4621086	7712	9381	0	0	0	0
0.027777777777777776	100	3396.0	67.25	3857	99	2204618	4621086	7712	9882	0	0	0	0
0.029166666666666667	105	3396.0	60.0	3824	104	2134756	4621086	7712	10380	0	0	0	0
0.030555555555555555	110	3396.0	67.859375	3789	109	2107766	4621086	7712	10879	0	0	0	0
0.03194444444444444	115	3396.0	70.84375	3743	114	2134756	4621086	7712	11374	0	0	0	0
0.03333333333333333	120	3396.0	70.90625	3713	119	2263659	3216256	7712	11873	0	0	0	0
# gate elapsed=120s collections=119 monitor_blocks=20 stw_waits=0 stw_wait_max_ns=0
0.034722222222222224	125	3396.0	76.484375	3654	124	2264571	3216256	7712	12373	0	0	0	0
0.03611111111111111	130	3396.0	78.0	3630	129	2263659	3216256	7712	12872	0	0	0	0
0.0375	135	3396.0	81.6875	3635	134	2264571	3216256	7712	13371	0	0	0	0
0.03888888888888889	140	3396.0	78.09375	3606	139	2380309	3216256	7712	13871	0	0	0	0
0.04027777777777778	145	3396.0	87.5625	3549	144	2383815	3216256	7712	14371	0	0	0	0
0.041666666666666664	150	3396.0	90.5	3518	149	2386250	3216256	7712	14870	0	0	0	0
0.043055555555555555	155	3396.0	89.984375	3485	154	2386250	3216256	7712	15369	0	0	0	0
0.044444444444444446	160	3396.0	94.5625	3439	159	2383815	3216256	7712	15868	0	0	0	0
0.04583333333333333	165	3396.0	102.75	3407	164	2386250	3216256	7712	16369	0	0	0	0
0.04722222222222222	170	3396.0	104.71875	3365	169	2386250	3514989	7712	16867	0	0	0	0
0.04861111111111111	175	3396.0	101.53125	3340	174	2381361	3514989	7716	17367	0	0	0	0
0.05	180	3396.0	105.03125	3338	179	2168901	3514989	7716	17867	0	0	0	0
# gate elapsed=180s collections=179 monitor_blocks=33 stw_waits=0 stw_wait_max_ns=0
0.05138888888888889	185	3396.0	107.484375	3284	184	1931683	3514989	7716	18366	0	0	0	0
0.05277777777777778	190	3396.0	115.4375	3247	189	1820183	3514989	7716	18863	0	0	0	0
0.05416666666666667	195	3396.0	120.28125	3194	194	1820183	3514989	7716	19364	0	0	0	0
0.05555555555555555	200	3396.0	108.5625	3165	199	2139284	3514989	7716	19861	0	0	0	0
0.05694444444444444	205	3396.0	118.484375	3170	204	2147410	3514989	7716	20362	0	0	0	0
0.058333333333333334	210	3396.0	122.5	3113	209	2147410	3514989	7716	20861	0	0	0	0
0.059722222222222225	215	3396.0	124.671875	3109	214	2139284	3514989	7716	21361	0	0	0	0
0.06111111111111111	220	3396.0	128.984375	3053	219	2164602	3514989	7716	21860	0	0	0	0
0.0625	225	3396.0	131.515625	3065	224	2002918	3514989	7716	22360	0	0	0	0
0.06388888888888888	230	3396.0	130.4375	3034	229	2002918	3514989	7716	22859	0	0	0	0
0.06527777777777778	235	3396.0	137.875	2998	234	1945909	2760535	7716	23358	0	0	0	0
0.06666666666666667	240	3396.0	138.0	2948	239	2043543	2760535	7716	23857	0	0	0	0
# gate elapsed=240s collections=239 monitor_blocks=46 stw_waits=0 stw_wait_max_ns=0
0.06805555555555555	245	3396.0	137.265625	2924	244	2043543	2760535	7716	24356	0	0	0	0
0.06944444444444445	250	3396.0	137.171875	2914	249	2002918	2760535	7716	24856	0	0	0	0
0.07083333333333333	255	3396.0	148.765625	2879	254	1979453	2760535	7716	25356	0	0	0	0
0.07222222222222222	260	3396.0	145.4375	2853	259	1972520	2992733	7716	25856	0	0	0	0
0.07361111111111111	265	3396.0	157.578125	2789	264	1871630	2992733	7716	26355	0	0	0	0
0.075	270	3396.0	149.265625	2782	269	1849117	2992733	7716	26854	0	0	0	0
0.0763888888888889	275	3396.0	161.5625	2719	274	1645854	2992733	7716	27352	0	0	0	0
0.07777777777777778	280	3396.0	160.03125	2686	279	1680289	2992733	7716	27853	0	0	0	0
0.07916666666666666	285	3396.0	162.875	2691	284	1645854	2992733	7716	28351	0	0	0	0
0.08055555555555556	290	3396.0	164.34375	2653	289	1680289	3362270	7716	28850	0	0	0	0
0.08194444444444444	295	3396.0	159.03125	2646	294	1645854	3362270	7716	29348	0	0	0	0
0.08333333333333333	300	3396.0	173.078125	2588	299	1645854	3362270	7716	29849	0	0	0	0
# gate elapsed=300s collections=299 monitor_blocks=57 stw_waits=0 stw_wait_max_ns=0
