variant	trial	rps	rss_kib	marked	records	non2xx
boehm	1	241.25	44092	0	0	0
base	1	299.53	211428	0	0	0
hybrid	1	230.77	187220	2	86135	0
exclusive	1	3.13	0	0	0	0
