8	1	7653.73
8	2	10191.81
64	1	29929.34
64	2	20976.49
8	1	8276.48
8	2	10212.74
64	1	28080.64
64	2	21835.1
8	1	7425.57
8	2	9075.47
64	1	27867.36
64	2	20362.4
8	1	7649.83
8	2	9941.81
64	1	28494.69
64	2	20591.02
8	1	7746.35
8	2	11134.51
64	1	28528.13
64	2	19580.58
8	4	10532.29
64	4	14120.26
8	4	9535.93
64	4	15024.56
8	4	10582.44
64	4	14998.93
8	4	9539.83
64	4	13363.26
8	4	10187.93
64	4	13283.83
16	1	11134.34
16	2	13272.64
16	4	11624.34
32	1	17529.93
32	2	13847.76
32	4	13250.68
16	1	10989.67
16	2	12948.05
16	4	11391.08
32	1	17960.39
32	2	14355.13
32	4	13389.83
16	1	11154.82
16	2	10933.15
16	4	11415.31
32	1	17266.98
32	2	15362.78
32	4	14043.24
16	1	11568.9
16	2	12294.44
16	4	10176.46
32	1	17680.24
32	2	14033.84
32	4	11909.69
16	1	10852.29
16	2	11130.22
16	4	10899.12
32	1	18644.69
32	2	14430.84
32	4	12681.17
