8	1/ld1/pf1	7532.95
8	2/ld0/pf0	9432.1
8	2/ld0/pf1	9471.32
8	2/ld1/pf1	9675.26
8	4/ld1/pf1	9503.65
64	1/ld1/pf1	28430.39
64	2/ld0/pf0	20279.26
64	2/ld0/pf1	20646.82
64	2/ld1/pf1	18983.26
64	4/ld1/pf1	15292.39
8	1/ld1/pf1	7751.79
8	2/ld0/pf0	11037.29
8	2/ld0/pf1	10242.23
8	2/ld1/pf1	9181.38
8	4/ld1/pf1	9433.4
64	1/ld1/pf1	29976.02
64	2/ld0/pf0	20919.38
64	2/ld0/pf1	19746.99
64	2/ld1/pf1	18979.32
64	4/ld1/pf1	13586.53
8	1/ld1/pf1	7890.85
8	2/ld0/pf0	9614.76
8	2/ld0/pf1	10821.49
8	2/ld1/pf1	10823.46
8	4/ld1/pf1	10112.3
64	1/ld1/pf1	29829.5
64	2/ld0/pf0	20391.58
64	2/ld0/pf1	19279.1
64	2/ld1/pf1	19171.48
64	4/ld1/pf1	13066.07
8	1/ld1/pf1	7623.2
8	2/ld0/pf0	9835.63
8	2/ld0/pf1	9074.81
8	2/ld1/pf1	8929.66
8	4/ld1/pf1	11009.05
64	1/ld1/pf1	28181.24
64	2/ld0/pf0	20227.32
64	2/ld0/pf1	18137.71
64	2/ld1/pf1	20018.38
64	4/ld1/pf1	13297.84
8	1/ld1/pf1	7459.24
8	2/ld0/pf0	10623.9
8	2/ld0/pf1	10427.22
8	2/ld1/pf1	9814.42
8	4/ld1/pf1	10458.44
64	1/ld1/pf1	29217.44
64	2/ld0/pf0	21656.22
64	2/ld0/pf1	18934.33
64	2/ld1/pf1	19299.02
64	4/ld1/pf1	13981.24
