8	1	1	7856.21
8	2	1	9607.49
8	2	0	9994.64
8	4	1	10697.96
8	4	0	12151.39
16	1	1	10875.09
16	2	1	11062.2
16	2	0	11398.49
16	4	1	13232.81
16	4	0	11826.25
32	1	1	18100.62
32	2	1	14251.61
32	2	0	13941.69
32	4	1	13939.35
32	4	0	13154.69
64	1	1	28676.25
64	2	1	20549.04
64	2	0	20042.12
64	4	1	17000.47
64	4	0	15303.97
8	1	1	7368.8
8	2	1	10825.82
8	2	0	9093.1
8	4	1	11033.98
8	4	0	10020.22
16	1	1	10764.06
16	2	1	10740.44
16	2	0	10429.64
16	4	1	11355.02
16	4	0	11093.66
32	1	1	17773.38
32	2	1	14031.3
32	2	0	13908.62
32	4	1	11282.84
32	4	0	13062.82
64	1	1	28024.28
64	2	1	20507.91
64	2	0	18902.54
64	4	1	16276.75
64	4	0	17471.4
8	1	1	7515.57
8	2	1	9753.05
8	2	0	11570.61
8	4	1	9751.01
8	4	0	9886.44
16	1	1	11185.47
16	2	1	11196.97
16	2	0	10546.58
16	4	1	10918.74
16	4	0	10340.73
32	1	1	17090.71
32	2	1	13907.42
32	2	0	14499.99
32	4	1	13961.34
32	4	0	15816.14
64	1	1	27500.7
64	2	1	18831.36
64	2	0	19469.57
64	4	1	14518.09
64	4	0	15542.6
8	1	1	7459.1
8	2	1	9309.23
8	2	0	9573.78
8	4	1	11182.77
8	4	0	12590.27
16	1	1	10755.07
16	2	1	11634.45
16	2	0	12187.95
16	4	1	11766.97
16	4	0	11371.63
32	1	1	17581.4
32	2	1	14117.3
32	2	0	14128.37
32	4	1	12488.29
32	4	0	12054.02
64	1	1	28952.63
64	2	1	20352.51
64	2	0	21844.67
64	4	1	14162.59
64	4	0	13598.86
8	1	1	8138.65
8	2	1	9399.74
8	2	0	10103.96
8	4	1	10848.76
8	4	0	10495.66
16	1	1	11031.36
16	2	1	10500.09
16	2	0	11730.84
16	4	1	10788.44
16	4	0	10359.1
32	1	1	17697.81
32	2	1	13886.28
32	2	0	15268.47
32	4	1	14065.06
32	4	0	14383.46
64	1	1	28893.21
64	2	1	20197.88
64	2	0	19978.27
64	4	1	14665.57
64	4	0	14225.24
