n	result	req_s	soft	hard	alive	note
1	OK	50361.27	0	0	1	
2	OK	47655.44	0	0	1	
3	OK	30231.98	0	0	1	
4	OK	51242.00	0	0	1	
5	OK	50876.57	0	0	1	
6	OK	43422.36	0	0	1	
7	OK	38551.77	0	0	1	
8	OK	47469.18	0	0	1	
9	OK	51795.35	0	0	1	
10	OK	49536.85	0	0	1	
11	OK	49411.25	0	0	1	
12	OK	49272.08	0	0	1	
13	OK	51357.99	0	0	1	
14	OK	50564.94	0	0	1	
15	OK	54001.76	0	0	1	
16	OK	48791.82	0	0	1	
17	OK	43180.63	0	0	1	
18	OK	46797.12	0	0	1	
19	OK	56973.64	0	0	1	
20	OK	50959.84	0	0	1	
21	OK	45463.62	0	0	1	
22	OK	46458.62	0	0	1	
23	OK	47941.09	0	0	1	
24	OK	51583.22	0	0	1	
25	OK	53686.15	0	0	1	
26	OK	55209.86	0	0	1	
27	OK	54952.51	0	0	1	
28	OK	39855.10	0	0	1	
29	OK	49770.61	0	0	1	
30	OK	50089.11	0	0	1	
31	OK	47610.60	0	0	1	
32	OK	52699.76	0	0	1	
33	OK	49470.01	0	0	1	
34	OK	43995.57	0	0	1	
35	OK	53661.87	0	0	1	
36	OK	55938.94	0	0	1	
37	OK	59165.61	0	0	1	
38	OK	55564.09	0	0	1	
39	OK	49662.97	0	0	1	
40	OK	46819.39	0	0	1	
