bin	trial	req_s	soft	rss
bebedae	1	33347.50	0	13420
sweep2	1	32680.24	0	12960
boehm	1	40755.10	0	16724
bebedae	2	33881.34	0	13372
sweep2	2	33197.22	0	13276
boehm	2	41705.70	0	16728
bebedae	3	33340.11	0	13276
sweep2	3	31472.26	0	13316
boehm	3	41631.87	0	16680
